year,family,skilled-permanent,special-eligibility-humanitarian,other,total,state
2004-05,12370,11690,4420,1350,29830,New South Wales
2005-06,13250,12410,4410,1360,31440,New South Wales
2006-07,13530,12890,4200,1370,31990,New South Wales
2007-08,13810,13530,2950,1470,31760,New South Wales
2008-09,14230,12730,4080,1460,32510,New South Wales
2009-10,13950,10040,3200,1470,28670,New South Wales
2010-11,13090,9040,2840,1550,26510,New South Wales
2011-12,13120,9440,2030,1600,26180,New South Wales
2012-13,13280,8990,2790,1800,26850,New South Wales
2013-14,13160,11040,4480,2070,30750,New South Wales
2014-15,11770,12290,4770,2020,30850,New South Wales
2015-16,11580,13230,3340,2190,30340,New South Wales
2016-17,11070,16190,10720,2270,40250,New South Wales
2017-18,9720,15380,4390,2190,31680,New South Wales
2018-19,8830,13000,6250,2670,30750,New South Wales
2019-20,7330,9290,5290,3760,25670,New South Wales
2020-21,7580,7250,170,3040,18040,New South Wales
2021-22,9630,8790,3150,3540,25110,New South Wales
2022-23(f),7420,9620,4260,4120,25420,New South Wales
2004-05,7850,9330,3940,880,22000,Victoria
2005-06,8190,11080,3440,830,23540,Victoria
2006-07,8990,12620,3380,930,25910,Victoria
2007-08,9180,14290,2740,960,27160,Victoria
2008-09,9770,13660,3040,990,27450,Victoria
2009-10,10050,11580,2650,1020,25290,Victoria
2010-11,9790,9710,2440,1140,23080,Victoria
2011-12,10040,10810,2180,1120,24150,Victoria
2012-13,9930,10650,2960,1360,24890,Victoria
2013-14,10470,11430,3540,1500,26930,Victoria
2014-15,9600,12890,3600,1570,27660,Victoria
2015-16,9680,13420,3210,1850,28150,Victoria
2016-17,9290,15230,7220,1900,33640,Victoria
2017-18,8420,14410,3650,1790,28270,Victoria
2018-19,7960,12660,4110,2300,27030,Victoria
2019-20,6620,8420,3650,3100,21780,Victoria
2020-21,3920,3630,150,1300,9000,Victoria
2021-22,8040,9260,2740,3060,23110,Victoria
2022-23(f),6910,10620,4360,3620,25510,Victoria
2016-17,9290,15230,7220,1900,33640,Victoria
2017-18,8420,14410,3650,1790,28270,Victoria
2018-19,7960,12660,4110,2300,27030,Victoria
2019-20,6620,8420,3650,3100,21780,Victoria
2020-21,3920,3630,150,1300,9000,Victoria
2021-22,8040,9260,2740,3060,23110,Victoria
2022-23(f),6910,10620,4360,3620,25510,Victoria
2004-05,3560,5150,1580,610,10910,Queensland
2005-06,3900,6100,1450,630,12080,Queensland
2006-07,4340,7030,1460,590,13420,Queensland
2007-08,4310,7970,1030,630,13950,Queensland
2008-09,4740,7250,1160,660,13810,Queensland
2009-10,4840,5180,1300,680,12000,Queensland
2010-11,4250,4420,1360,670,10710,Queensland
2011-12,4720,5060,1270,590,11640,Queensland
2012-13,4610,4080,1090,760,10540,Queensland
2013-14,4670,4030,2060,730,11490,Queensland
2014-15,4180,4490,1380,840,10890,Queensland
2015-16,4070,4380,1950,920,11310,Queensland
2016-17,3730,4860,2730,940,12270,Queensland
2017-18,3200,4480,1880,900,10460,Queensland
2018-19,3040,4170,2500,1080,10790,Queensland
2019-20,2470,3240,1920,1250,8870,Queensland
2020-21,1740,1550,130,680,4090,Queensland
2021-22,3480,3340,720,1160,8710,Queensland
2022-23(f),2760,4750,1330,1340,10190,Queensland
2016-17,3730,4860,2730,940,12270,Queensland
2017-18,3200,4480,1880,900,10460,Queensland
2018-19,3040,4170,2500,1080,10790,Queensland
2019-20,2470,3240,1920,1250,8870,Queensland
2020-21,1740,1550,130,680,4090,Queensland
2021-22,3480,3340,720,1160,8710,Queensland
2022-23(f),2760,4750,1330,1340,10190,Queensland
2004-05,1230,2550,1220,140,5130,South Australia
2005-06,1360,4530,1100,130,7120,South Australia
2006-07,1590,5220,1220,170,8190,South Australia
2007-08,1560,5320,840,150,7870,South Australia
2008-09,1660,4710,1050,170,7590,South Australia
2009-10,1840,6040,990,140,9010,South Australia
2010-11,1690,3230,1150,160,6230,South Australia
2011-12,1840,4930,960,170,7900,South Australia
2012-13,1980,4120,720,210,7030,South Australia
2013-14,2090,3760,1230,190,7270,South Australia
2014-15,1960,4240,790,200,7180,South Australia
2015-16,1800,3820,1080,220,6930,South Australia
2016-17,1650,3800,1440,230,7120,South Australia
2017-18,1550,4110,860,200,6720,South Australia
2018-19,1390,4090,1000,280,6760,South Australia
2019-20,1230,3340,960,400,5930,South Australia
2020-21,770,780,90,210,1860,South Australia
2021-22,1380,2870,580,340,5170,South Australia
2022-23(f),1240,3980,1250,370,6830,South Australia
2004-05,2710,6190,1780,590,11260,Western Australia
2005-06,2890,7860,1380,600,12720,Western Australia
2006-07,3150,8960,1680,600,14380,Western Australia
2007-08,3330,9450,1440,640,14860,Western Australia
2008-09,3560,8750,1710,610,14620,Western Australia
2009-10,3800,7080,1170,580,12620,Western Australia
2010-11,3940,5880,810,680,11310,Western Australia
2011-12,3870,9210,750,670,14500,Western Australia
2012-13,4270,9080,520,710,14570,Western Australia
2013-14,3950,8600,820,710,14070,Western Australia
2014-15,3510,6540,730,750,11520,Western Australia
2015-16,3560,5540,880,740,10720,Western Australia
2016-17,3020,4540,990,760,9310,Western Australia
2017-18,2580,3390,660,890,7520,Western Australia
2018-19,2360,2560,650,1030,6590,Western Australia
2019-20,2060,1800,540,1600,6000,Western Australia
2020-21,1230,950,40,690,2910,Western Australia
2021-22,2510,2130,350,970,5950,Western Australia
2022-23(f),2230,3830,810,1120,7990,Western Australia
2004-05,180,190,300,20,690,Tasmania
2005-06,220,230,200,20,670,Tasmania
2006-07,200,260,240,40,740,Tasmania
2007-08,240,270,230,30,760,Tasmania
2008-09,290,310,300,40,930,Tasmania
2009-10,280,270,390,40,980,Tasmania
2010-11,190,150,370,40,740,Tasmania
2011-12,240,190,370,30,830,Tasmania
2012-13,240,160,380,30,810,Tasmania
2013-14,220,110,800,30,1150,Tasmania
2014-15,220,120,290,40,670,Tasmania
2015-16,200,130,370,30,720,Tasmania
2016-17,200,210,640,30,1070,Tasmania
2017-18,140,340,520,50,1050,Tasmania
2018-19,160,580,530,40,1300,Tasmania
2019-20,130,450,420,60,1060,Tasmania
2020-21,80,160,0,20,260,Tasmania
2021-22,180,710,70,40,1000,Tasmania
2022-23(f),130,730,330,60,1240,Tasmania
2004-05,190,110,120,20,440,Northern Territory
2005-06,190,130,150,10,490,Northern Territory
2006-07,250,190,140,20,600,Northern Territory
2007-08,260,190,90,20,550,Northern Territory
2008-09,300,240,100,30,670,Northern Territory
2009-10,350,280,100,20,750,Northern Territory
2010-11,290,210,80,30,610,Northern Territory
2011-12,360,350,70,20,800,Northern Territory
2012-13,410,270,30,30,730,Northern Territory
2013-14,420,420,90,30,960,Northern Territory
2014-15,300,560,20,30,920,Northern Territory
2015-16,270,620,70,40,1000,Northern Territory
2016-17,280,600,100,50,1020,Northern Territory
2017-18,210,560,40,30,830,Northern Territory
2018-19,180,590,90,30,900,Northern Territory
2019-20,130,340,60,30,550,Northern Territory
2020-21,80,90,10,30,200,Northern Territory
2021-22,230,480,70,80,860,Northern Territory
2022-23(f),110,610,190,40,950,Northern Territory
2004-05,350,340,220,50,960,Australian Capital Territory
2005-06,400,410,190,60,1050,Australian Capital Territory
2006-07,440,380,90,50,960,Australian Capital Territory
2007-08,410,570,170,40,1200,Australian Capital Territory
2008-09,510,710,190,40,1450,Australian Capital Territory
2009-10,490,670,120,40,1330,Australian Capital Territory
2010-11,500,420,130,60,1100,Australian Capital Territory
2011-12,580,1000,70,60,1700,Australian Capital Territory
2012-13,540,680,50,70,1340,Australian Capital Territory
2013-14,550,950,150,80,1730,Australian Capital Territory
2014-15,520,1110,120,70,1810,Australian Capital Territory
2015-16,440,720,190,80,1420,Australian Capital Territory
2016-17,450,700,290,80,1520,Australian Capital Territory
2017-18,460,670,190,80,1390,Australian Capital Territory
2018-19,370,590,210,100,1270,Australian Capital Territory
2019-20,330,400,170,120,1020,Australian Capital Territory
2020-21,250,220,10,120,590,Australian Capital Territory
2021-22,450,520,100,110,1180,Australian Capital Territory
2022-23(f),320,910,180,120,1530,Australian Capital Territory
2004-05,28430,35540,13580,3650,81210,Australia
2005-06,30400,42750,12320,3640,89110,Australia
2006-07,32480,47540,12400,3770,96190,Australia
2007-08,33100,51600,9470,3940,98110,Australia
2008-09,35060,48360,11630,4000,99040,Australia
2009-10,35580,41140,9920,3990,90640,Australia
2010-11,33730,33060,9180,4320,80300,Australia
2011-12,34770,40980,7700,4250,87690,Australia
2012-13,35230,38020,8540,4960,86760,Australia
2013-14,35510,40330,13170,5340,94350,Australia
2014-15,32050,42240,11690,5510,91490,Australia
2015-16,31590,41850,11080,6070,90590,Australia
2016-17,29680,46140,24120,6270,106200,Australia
2017-18,26280,43320,12190,6130,87910,Australia
2018-19,24290,38230,15340,7530,85390,Australia
2019-20,20300,27280,13000,10320,70890,Australia
2020-21,15650,14620,590,6090,36950,Australia
2021-22,25910,28100,7780,9320,71100,Australia
2022-23(g),21120,35050,12710,10790,79670,Australia
